1691	2782	1641	2632	3281
3972	4496	3890	663	1082
1076	567	3520	264	161
3832	3743	4236	3474	3228
684	2206	3203	858	4692
44	3069	582	2229	4579
3294	1605	43	1282	488
4732	1267	1229	3240	290
3637	4394	2684	3660	4047
4953	4789	2251	178	1789
3690	817	4143	3961	1374
4992	2627	736	3466	747
3968	4872	763	298	2863
3416	2964	1651	550	306
3044	153	4383	1700	2287
3113	628	2077	3208	1853
657	2573	4121	2340	3981
2319	2810	2246	381	2299
3046	1287	1144	4981	1216
3173	2860	121	3344	853
149	3990	3766	1623	4188
1439	21	3715	2411	3536
4338	377	3480	3769	4842
3626	996	629	3620	2360
299	2335	3055	2089	837
1939	1951	4750	260	1644
4293	4693	1848	3733	1943
3167	2141	434	4513	1040
796	1282	1046	4214	4288
3909	3353	2171	2023	324
249	3750	2946	2297	2511
1724	2853	3863	2908	2413
4091	2217	3419	283	4844
580	1164	1002	1461	416
1447	3274	3405	4123	4852
2894	3301	4009	1446	3214
4014	4926	4191	1746	4629
1854	3164	3509	4872	2202
455	1935	874	2417	1490
3976	1247	2737	3863	2798
3609	3521	4345	368	1810
4256	3751	544	978	1302
3714	2884	3179	1566	793
948	2364	3662	2072	934
3744	930	449	944	3935
1176	1982	4607	818	1948
292	1071	1014	3330	3484
982	383	4445	2650	3178
4273	4221	225	561	1991
1311	3059	3534	4195	1335
271	1576	4486	2522	242
956	1221	4905	3076	551
805	2746	471	615	453
4116	2923	1428	4322	828
191	2815	4812	1018	298
4495	2702	2842	2596	3029
1392	1097	437	554	2442
4440	4071	3861	1865	4663
4322	656	1459	747	3514
2991	4306	1631	1652	463
4874	2687	4880	659	3448
4072	4548	4613	3246	3434
2572	157	2954	1669	2392
1984	1561	1719	2822	1703
2198	456	998	849	3944
1571	3701	1324	2578	3350
1800	3398	3239	1577	258
4661	4257	2422	4484	4453
4899	2574	1235	4349	1821
1597	4296	2160	1113	3781
2526	3531	4341	3445	3863
2397	3268	648	2433	2360
4986	533	1970	283	4363
3567	337	4795	3031	2751
501	3161	1652	1608	3295
910	3587	3957	763	4650
2602	3167	4506	1993	2416
1447	2955	2231	916	4069
4360	3613	4759	3706	4799
3687	1807	771	2999	3024
1049	2096	1325	1737	4567
302	558	4297	3990	4701
3053	1469	1618	2307	4508
2737	1635	158	2806	1210
